region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type
Sub-Saharan Africa,SSA,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,2.15,0.21408847765384711,0.09140949015666945,0.053332359004243185,0.15103158988042814,7.374365426841039,4.664529111022052,0.5125764608983155,0.5195689249112876,0.46434005463069217,0.009832460144849049,0.021953072249897246,0.03342455472604412,0.044953073234978644,0.05662774151106509,0.07048757987921933,0.08808485033368779,0.11349455966916694,0.15868695244104303,0.4024551558101154,0.014199690833997565,107.269989013672,16395477,2451.5098259912684,,FALSE,micro,survey
Sub-Saharan Africa,SSA,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,2.15,0.14632487286880944,0.040595237875560033,0.01655632062047158,0.05362785989328369,6.513751809548646,4.6942547360800795,0.3116315023215396,0.427155149878257,0.39136524969766595,0.02071966295533835,0.03356688599601205,0.04315606415145214,0.05304570384412695,0.06542601964070074,0.07920356499582895,0.09651447112803008,0.12291698131979417,0.16233330698834159,0.3231173389803934,0.3034491231407121,107.269989013672,21695636,4077.776844116432,1620.0656073918692,FALSE,micro,survey
Sub-Saharan Africa,SSA,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,2.15,0.3112200623143419,0.11932581422066593,0.06255790657753377,0.18066456896884214,5.482150726198142,3.4205505392402626,0.4778896475751662,0.5127211119824917,0.470981918182327,0.013295415783554622,0.024280907025311695,0.03332860785316842,0.04342929463527932,0.05584268734223642,0.06981362525926094,0.088687618989236,0.11568737597775736,0.15939020745691707,0.39624425967731414,1.231023884150867,107.269989013672,30809787,3595.1066670875357,2093.4958483467835,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,2.15,0.005348460357082809,9.82145762396329e-4,3.047592003545157e-4,0.0012031243989953188,7.933156834567807,6.972102000014124,0.11910432658438594,0.2701034197508885,0.24129327237527604,0.03863286001416269,0.05289346878729534,0.06378683400734689,0.07322041534489757,0.08379661928695956,0.09354902524538344,0.10823086967865037,0.12473869500996049,0.14899548136724716,0.2121557312580965,0.3996352670050418,50.3573722839355,3168033,1633.5515721775157,1714.8134160821303,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,2.15,0.010926473904389144,0.0018943495471248782,5.942301138746599e-4,0.0023828403532205776,8.108227985412178,6.688140745711086,0.16481159963893843,0.3173897983352211,0.26898163891907917,0.034940017741006434,0.04859444247376676,0.058420590397623026,0.06738203996386019,0.07653102410062876,0.08839459486678691,0.10228585059344847,0.11984428733455255,0.14925078303213513,0.25435636949619267,0.701637071274616,50.3573722839355,3051010,2247.497491380291,1685.3681281993854,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,2.15,0.005910856841321203,8.972339798171964e-4,2.2851204438599707e-4,0.0010423962935253372,9.165973675060911,7.799790411053395,0.15441275648269534,0.30595655728119175,0.25452865681650805,0.03482535960445295,0.049201089607982466,0.0597728256929891,0.06921182508870954,0.07988158381405794,0.09037068530154391,0.10372144005366646,0.12126407642186754,0.14833943344910505,0.24341168096562404,0.7539579050182367,50.3573722839355,3011487,2675.507936057917,2079.2435007551608,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,2.15,0.0019992514622249116,3.964111567632269e-4,8.690319991289111e-5,4.4897288677022085e-4,10.038168285990896,8.400198792305364,0.1488933809532339,0.2998467042234797,0.2473111126075789,0.03733625353567664,0.051367811850907205,0.0608847215962694,0.06983584250007624,0.07912078536889347,0.08924132641932564,0.1029873499940211,0.1192907552267034,0.14535204452323625,0.24458310898489022,0.820114124526429,50.3573722839355,2947314,3298.4780443121795,2819.7360182371026,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,2.15,0.006206908871704899,0.0013089258271590572,4.524182948196817e-4,0.0016377259352716423,9.517230603726523,8.240384222499124,0.13841706804209697,0.2896048455859209,0.2499879207991325,0.036595270066434225,0.05193094996707407,0.061436438301278845,0.07030725742684107,0.08083832551550643,0.09256942606872837,0.10515455176539962,0.12293301146440216,0.14889137301179323,0.2293433964125372,0.9171828329817295,50.3573722839355,2900401,3736.3391007681894,2989.865980686233,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,2.15,0.010231007740106511,0.0013870794657464616,2.6728235290561937e-4,0.0015452649161822865,10.141309648398275,8.295375308399455,0.1986615663134147,0.3459889646678993,0.32430970150434074,0.028530038686864344,0.04173767185632587,0.05222912870045271,0.06311598660849414,0.07512373244545872,0.08932859602769755,0.10593702731255172,0.12724538119956846,0.16130921314992708,0.2554432240126554,0.9501554118638185,50.3573722839355,2889104,3855.759734080398,3142.773438128063,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,2.15,0.0012062105945625289,5.6146910856403805e-5,4.126678737323033e-6,5.834093720266266e-5,12.055372382517964,9.887382595951983,0.17549547002413424,0.3275373177638622,0.3003637660213234,0.031544789354655496,0.04546798090677893,0.055664218170852556,0.06579464738739041,0.07620023178175081,0.08886236494917582,0.1047408331633799,0.1252329441982395,0.15869891096227495,0.24779307912549886,0.983422336671663,50.3573722839355,2880703,3952.802538075274,3189.7056476725284,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2016,national,HBS,national,2016,consumption,2,2014 - 2017,2.15,0.0013930316622910246,1.0544825131595997e-4,1.3631312953909956e-5,1.130138553204897e-4,12.541092354465023,10.282371297238777,0.18758058229187613,0.3373629871613544,0.31438035384590624,0.02969405733287747,0.04350515628656951,0.054224177497443515,0.06423766838270817,0.07524432305082696,0.08896662927744986,0.10520496389121231,0.12703985647337268,0.16138762198812773,0.25049554581941036,0.9798100842158242,50.3573722839355,2876101,4090.37165668632,3263.023370266404,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2016,national,SILC-C,national,2016,income,4,2016 - 2018,2.15,0.057951017797722465,0.0221181757411419,0.011319394706298707,0.03248627919252682,9.95197060163121,8.140219973221235,0.2737398437318146,0.3856564270560209,0.3503600820347122,0.018381764566255544,0.034833605882421,0.0479217877885021,0.06081395375956805,0.07358065191109336,0.08862650509898237,0.10573946154486602,0.12912911497275248,0.16630366764799875,0.27466948682758985,0.9798100842158242,50.3573722839355,2876101,4090.37165668632,3263.023370266404,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2017,national,HBS,national,2017,consumption,2,2014 - 2017,2.15,0.003925699344145354,3.8803442236375594e-4,5.487423127130845e-5,4.1881808359823803e-4,12.411218948203334,10.187668779844469,0.17990846504838426,0.330556627406811,0.30852226483953654,0.030905286118914656,0.04459942681944837,0.05477605165291666,0.06508122961160906,0.07604976016054898,0.08908397145761221,0.10539262080335043,0.1271788691017388,0.16080848294499805,0.24612430132885588,1,50.3573722839355,2873457,4249.803733676922,3345.3715275329287,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2017,national,SILC-C,national,2017,income,4,2016 - 2018,2.15,0.05264806021359659,0.017958083234581187,0.00875427758013331,0.025682410387326545,10.411014391968285,8.704905448837362,0.2541749295129492,0.3709512668663948,0.3325366238409813,0.018976139099865952,0.036430115137448774,0.05010894730399053,0.0632918388766383,0.07649153452521992,0.09073750583123019,0.10648661184340935,0.12902116335921793,0.16392251137276626,0.26453363265023655,1,50.3573722839355,2873457,4249.803733676922,3345.3715275329287,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2018,national,HBS,national,2018,consumption,3,2018 - 2019,2.15,4.8107047618882264e-4,5.6359318250565583e-5,6.735124509270868e-6,6.0027129693794014e-5,13.316506107778826,11.639975304913122,0.15240441423027257,0.3014828173658326,0.26593011637847075,0.031698258292922506,0.04768175024874769,0.05972040221853926,0.07073262013401438,0.08135162566074383,0.09345278344002028,0.10747296732071698,0.12597141195153866,0.15449505742416791,0.2274231233085836,1.0202806265808495,50.3573722839355,2866376,4431.539181012876,3465.617258318251,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2018,national,SILC-C,national,2018,income,4,2016 - 2018,2.15,0.038929823491467785,0.011322121787670782,0.005091756885060989,0.01560049029350176,10.897240887467959,9.1996277984698,0.2330512870273137,0.3598875190138543,0.3192450327926283,0.021487139377576184,0.03854906223546384,0.05140691956048357,0.06394037943240821,0.07729601671485872,0.09135013704602185,0.10672525575146813,0.1267871145041629,0.16243928708363053,0.26001868829393204,1.0202806265808495,50.3573722839355,2866376,4431.539181012876,3465.617258318251,FALSE,micro,survey
Europe & Central Asia,ECA,Albania,ALB,2019,national,HBS,national,2019,consumption,3,2018 - 2019,2.15,0,0,0,0,15.581382637045925,13.077384012683234,0.15462628754967664,0.30771739035139667,0.2748923013068534,0.0339493354213913,0.04861869685736248,0.05893265907347928,0.06837268276036376,0.07861275981847882,0.09013540973243622,0.10514613238142079,0.12447413895632786,0.15417938467179793,0.2375788003269388,1.034677716408741,50.3573722839355,2854191,4544.515005327383,,FALSE,micro,survey
Other High Income Countries,OHI,United Arab Emirates,ARE,2013,national,HIES,national,2013.42,income,0,2013 - 2018,2.15,0,0,0,0,72.45095059139214,65.14401583502598,0.19533358600794645,0.32510420891245906,0.32329305129227454,0.02349732671315663,0.03864284065336121,0.05306622825917651,0.06738315327854094,0.08218639588931276,0.09817661998560323,0.11635509093754393,0.13842757979357223,0.16791160988343412,0.21435315460629845,0.9150271122710919,2.83484387397766,9197908,35495.76526893221,15170.147711221134,FALSE,group,survey
Other High Income Countries,OHI,United Arab Emirates,ARE,2018,national,HIES,national,2018,income,0,2013 - 2018,2.15,0,0,0,0,78.77590282435031,72.1214149532839,0.11142685373910229,0.2596627908793754,0.23970653776606363,0.03975935808113834,0.05241254661416213,0.06329555680016817,0.07422242111492156,0.08561430892063265,0.09783872905626512,0.11142228586688196,0.12738325523675198,0.14848605691526617,0.19956548139381192,1.0306863450148274,2.83484387397766,9630966,39670.93152734067,15531.338403909875,FALSE,group,survey
Latin America & Caribbean,LAC,Argentina,ARG,1980,urban,EPH,urban,1980,income,0,1980 - 1987,2.15,0.0030901245117187495,0.0017908596258642522,0.0017808596258642522,1.257839395404567e-4,32.47283363214869,24.830716979514776,0.29184721081587944,0.4083086045604474,0.372898642354651,0.020098563613480724,0.03286435476152838,0.04492987696059547,0.05697858511169551,0.06968903343150334,0.08394564044552055,0.10122462683934463,0.12467998153657633,0.16383563008687085,0.3017537072128842,0.0548937504873377,10.8079395294189,23122598,10318.182985208403,,FALSE,group,survey
Latin America & Caribbean,LAC,Argentina,ARG,1986,urban,EPH,urban,1986,income,0,1980 - 1987,2.15,0.011191321131303028,0.01110642714829652,0.011064216818678745,1.160967378632364e-4,35.167551762431934,25.36731716476277,0.3314282934552988,0.42808886993539985,0.3846365361296681,0.017675406614673927,0.03358614396149623,0.04352594787924535,0.055186478790684834,0.06666024105251042,0.0797980475383728,0.09738698749761937,0.12087506842273871,0.16322485068602466,0.32208082755663436,0.014069943236771168,10.8079395294189,26230730,9412.994813331816,,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1987,urban,EPH,urban,1987,income,0,1980 - 1987,2.15,0.011860859177731803,0.008901203062180178,0.008189006858858035,0.001221501889074718,32.145568811597244,22.359614372325066,0.3699705799852663,0.45276366076962005,0.4103199721174233,0.01561449455196714,0.030145274705351242,0.04118895429760243,0.05193578563123319,0.06342633143323229,0.0772362009494236,0.09513517366128654,0.11948485923344127,0.16331402855516242,0.342518896981301,0.032548659924144414,10.8079395294189,26769634,9517.108609624447,,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1991,urban,EPH,urban,1991,income,1,1991 - 2002,2.15,0.009720286286715861,0.00641114255295383,0.005323410774877522,0.0024768346408025332,22.81104021238504,15.114628280244213,0.38243556081344265,0.46761739105940003,0.4057901345723679,0.01744146510441149,0.030524239403883574,0.04059150387373423,0.0500231117209885,0.06058571700800103,0.07238356972638532,0.08890948508352259,0.11407436025322132,0.15937363494706508,0.36609291287878754,328.90918265732415,10.8079395294189,28887231,8769.750399720164,,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1992,urban,EPH,urban,1992,income,1,1991 - 2002,2.15,0.016737125255337472,0.011135736046581097,0.009694732413925674,0.004297708236079177,23.00445864753348,15.80751669156585,0.3693295137385985,0.4546809298082467,0.427538369430726,0.016000676801643333,0.03000404330364416,0.040696826410975016,0.05124031475869055,0.06211356380393673,0.07651943832591018,0.09418842341460998,0.12062073563882314,0.1657447610011653,0.34287121654060626,0.038807526013343294,10.8079395294189,29352237,9338.699517016437,,FALSE,micro,survey
Latin America & Caribbean,LAC,Argentina,ARG,1993,urban,EPH,urban,1993,income,1,1991 - 2002,2.15,0.019766661716605172,0.011567194688815048,0.009672118653778263,0.004573995974997277,23.05283861579658,16.156161376506738,0.36626704163535095,0.4485628585171292,0.4218626773141356,0.014836158555216788,0.029669111339814088,0.04096802213276802,0.05217360488421517,0.06421462578048295,0.07897917477536948,0.09670692655458524,0.12340487004764217,0.16703361392657745,0.33201389200335174,0.042250332757293195,10.8079395294189,29809445,9974.004418710028,6149.761557751256,FALSE,micro,survey
