Partido,Mujeres,Hombres
CIUDADANOS ,10712,8612
COMUNISTA DE CHILE ,39748,44754
CONVERGENCIA SOCIAL ,2076,1981
DEMOCRATA CRISTIANO,51803,55809
ECOLOGISTA VERDE ,8771,7641
EVOLUCION POLITICA ,9426,12986
FEDERACION REGIONALISTA VERDE SOCIAL,4505,4857
HUMANISTA ,10215,9602
IGUALDAD ,11266,7676
IZQUIERDA ANTICAPITAL DE LOS TRABAJADORES ,1607,1520
NUEVA CLASE MEDIA ,941,804
NUEVO TIEMPO ,986,706
PARTIDO LIBERAL DE CHILE,4542,5896
PARTIDO NACIONAL CIUDADANO,1300,815
PARTIDO PROGRESISTA,34191,27604
PARTIDO UNION PATRIOTICA,4042,4732
PODER CIUDADANO ,7918,7144
POR LA DEMOCRACIA ,57895,53891
RADICAL DE CHILE ,14989,15571
REGIONALISTA INDEPENDIENTE DEMOCRATA,12378,11103
RENOVACION NACIONAL,20956,18723
REPUBLICANO DE CHILE,3774,9510
REVOLUCION DEMOCRATICA,19544,18778
SOCIALISTA DE CHILE ,59894,63984
UNION DEMOCRATA INDEPENDIENTE,60176,40752
