NAME,SIMBADNAME,SIMBADURL,DATE,MASS,R,BMV,MSTAR,RSTAR,TEFF,A,PER,ECC,DIST,NCOMP,PLANETDISCMETH
Kepler-107 d,Kepler-107,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-107,2014,0.00371234,0.095459,,,1.411,5851,0.0780099,7.958203,,,4,Transit
Kepler-427 b,2MASS J19130109+4342175,http://simbad.harvard.edu/simbad/sim-id?Ident=2MASS+J19130109%2B4342175,2010,0.29,1.23,,0.96,1.35,5800,0.091351,10.290994,0,1100,1,Transit
WASP-14 b,BD+22 2716,http://simbad.harvard.edu/simbad/sim-id?Ident=BD%2B22+2716,2009,7.69234,1.281,0.46,1.31,1.31,6475,0.0367693,2.243752,0.091,160,1,Transit
Kepler-50 b,Kepler-50,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-50,2011,0.0164915,0.196096,0.48,1.23,1.88,6058,0.0825598,7.8125124,,,2,Transit
Kepler-20 b,Kepler-20,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-20,2011,0.0266646,0.170247,0.9,0.912,0.944,5466,0.0453704,3.6961219,0,290,5,Transit
HAT-P-27 b,HAT-P-27,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-27,2011,0.617485,1.02,0.99,0.92,0.87,5190,0.0399488,3.039577,0,204,1,Transit
Kepler-181 b,Kepler-181,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-181,2014,0.00674351,0.113302,,,0.749,5333,0.0419466,3.137873,,,2,Transit
HD 116029 b,HD 116029,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+116029,2011,1.9075,,1.009,1.33,5.04235,4811,1.64869,670,0,123.198,1,RV
Kepler-207 b,Kepler-207,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-207,2014,0.0117295,0.140066,,,1.588,5920,0.0269045,1.611865,,,3,Transit
HD 219828 b,HD 219828,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+219828,2007,0.0622185,,0.654,1.24,1.4682,5891,0.0515012,3.8334999,0,72.3066,1,RV
Kepler-11 c,GSC 03144-00002,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+03144-00002,2011,0.00912437,0.255816,,0.961,1.065,5663,0.106909,13.0241,0.0256125,,6,Transit
HD 1237 b,HD 1237,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+1237,2001,3.3748,,0.749,0.9,0.858011,5536,0.494668,133.71001,0.511,17.4978,1,RV
WASP-21 b,WASP-21,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-21,2010,0.300272,1.07,0.54,1.01,1.06,5800,0.0521087,4.322482,0,242.131,1,Transit
Kepler-284 c,Kepler-284,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-284,2014,0.0210192,0.232849,,,0.814,5615,0.219317,37.514456,,,2,Transit
Kepler-186 c,Kepler-186,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-186,2014,0.00636705,0.111418,,0.478,0.472,3788,0.0574114,7.267302,0.03,151,5,Transit
HD 4308 b,HD 4308,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+4308,2006,0.0477376,,0.655,0.933,0.82259,5695,0.119192,15.56,0,22.0556,1,RV
Kepler-239 b,Kepler-239,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-239,2014,0.0177874,0.207869,,,0.763,4914,0.101225,11.763051,,,2,Transit
Kepler-174 b,Kepler-174,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-174,2014,0.014454,0.174859,,,0.622,4880,0.113583,13.98179,,,3,Transit
Kepler-440 b,KOI-4087,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-4087,2010,0.0136945,0.165939,,0.575,0.559,4134,0.353207,101.11141,0,261,1,Transit
Kepler-224 d,Kepler-224,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-224,2014,0.0174811,0.205192,,,0.676,5018,0.0988375,11.349393,,,4,Transit
Kepler-389 c,Kepler-389,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-389,2014,0.0107805,0.130252,,,0.792,5376,0.116434,14.51143,,,2,Transit
Kepler-254 c,Kepler-254,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-254,2014,0.0160511,0.19181,,,0.91,5957,0.104915,12.412183,,,3,Transit
Kepler-236 c,Kepler-236,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-236,2014,0.0147725,0.178428,,,0.51,3750,0.162691,23.968127,,,2,Transit
WASP-25 b,TYC 6706-861-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+6706-861-1,2011,0.57847,1.22,0.400001,1,0.92,5750,0.0473714,3.764825,0,,1,Transit
Kepler-186 d,Kepler-186,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-186,2014,0.00934866,0.12479,,0.478,0.472,3788,0.0860831,13.342996,0.03,151,5,Transit
HD 24040 b,HD 24040,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+24040,2007,4.02189,,0.653,1.18,1.15444,5852.73,4.92406,3668,0.04,46.5983,1,RV
Kepler-359 c,Kepler-359,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-359,2014,0.0607789,0.38362,,,1.086,6248,0.292189,57.68802,,,3,Transit
